sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,average_value
0.13859457,0.13471551,0.13866346,0.14544655,0.13511057,0.13708165,0.14066389,0.1420845,0.13575076,0.13779211,0.13859035074710846
0.12139962,0.121104926,0.12608187,0.12555659,0.11498234,0.12034647,0.11626626,0.116294056,0.11929731,0.122595586,0.12039250135421753
0.117661685,0.10898786,0.11613478,0.11101153,0.11511026,0.10319982,0.11754991,0.1034258,0.10973522,0.10973505,0.11125519126653671
0.10412494,0.12934355,0.11720964,0.12947927,0.11932817,0.10926099,0.11108649,0.11383738,0.10838217,0.1158844,0.11579370498657227
0.12756084,0.12614067,0.13291217,0.12353484,0.13278185,0.12855816,0.12431091,0.12635316,0.12783653,0.12820746,0.12781965732574463
0.19369425,0.14231467,0.13805649,0.14114021,0.1475617,0.13155633,0.14096169,0.13420938,0.14914268,0.13857388,0.14572112262248993
0.12883078,0.18600982,0.114101194,0.14470203,0.16283989,0.12485147,0.15482321,0.14403448,0.17307137,0.14453122,0.14777955412864685
0.12120373,0.1119242,0.12458022,0.12061789,0.13852374,0.1248326,0.17623876,0.13649088,0.13365087,0.1149867,0.1303049623966217
0.13525382,0.1278891,0.1037336,0.13032198,0.13810149,0.10583179,0.12739982,0.10928322,0.12825942,0.117451094,0.12235252559185028
0.103109315,0.10211439,0.15092842,0.11561813,0.10458057,0.14777145,0.100416906,0.1446172,0.13731387,0.120885484,0.12273557484149933
0.35899553,0.19869746,0.09972355,0.14498696,0.18197665,0.12883095,0.0982357,0.107539184,0.15058401,0.11308709,0.15826570987701416
0.14504959,0.104869865,0.10120625,0.09499458,0.15393956,0.15244122,0.09522646,0.20204704,0.124977194,0.44455796,0.16193096339702606
0.08867221,0.097945586,0.105252296,0.14448662,0.14677227,0.29270008,0.15105516,0.20378041,0.09606084,0.15440282,0.14811284840106964
0.14132807,0.13391924,0.10115129,0.139773,0.09869207,0.18549627,0.105731785,0.13837898,0.09452655,0.13800007,0.12769973278045654
0.1966544,0.1403795,0.13365261,0.14126377,0.0906455,0.09889099,0.14075778,0.15800585,0.11704269,0.10883633,0.1326129287481308
0.10434464,0.13036881,0.107389994,0.13760747,0.1514587,0.15158252,0.09462171,0.13623077,0.13893697,0.13295336,0.1285495012998581
0.12359537,0.10901465,0.15724304,0.20863603,0.09072401,0.13836807,0.13985385,0.09795932,0.1404477,0.28995153,0.14957936108112335
0.18110059,0.14526322,0.1538767,0.15040052,0.14652686,0.13714947,0.13880466,0.15112689,0.1378775,0.121959254,0.1464085578918457
0.121874735,0.14135568,0.1018336,0.14271511,0.1376109,0.103749216,0.1556607,0.10848949,0.14214163,0.1304693,0.12859003245830536
0.15771756,0.1420698,0.12994285,0.18719028,0.099781334,0.20408416,0.13480876,0.1502738,0.13853508,0.16422315,0.1508626639842987
0.10495395,0.15005912,0.0996677,0.18605608,0.30681095,0.11060111,0.1514401,0.13474709,0.13485754,0.10173832,0.14809319376945496
0.13964063,0.12543853,0.14600305,0.18958537,0.15785597,0.11034102,0.14780831,0.14251839,0.12930162,0.09799492,0.13864877820014954
